date,review,sentiment,score
25-10-2022,"This is a really cute place which serves good coffee and paparoti. I have tried the cappuccino, south indian filter coffee and hazelnut frappe and all of them are very delivered. Their staff is also very friendly and warm. A must visit place! ",excellent,392.03
15-11-2022,elaborate menu,positive,124.05
27-11-2022,"This rare find serves a combination of good coffee, selective baked goods and tops this with a courteous staff and excellent service! We tried the South Indian Frappe, Banana Bread, their signature Paparoti, Croissant and Latte’s - everything was delicious and would definitely recommend going here often! ",excellent,383.11
11-12-2022,fresh food,excellent,125.83
22-12-2022,Amazing coffee experience at this place . Haven’t had a better almond frappe and flat white !! Don’t forget the banana chips too ! ,excellent,393.92
01-01-2023,fresh food,excellent,125.83
26-01-2023,fresh food,excellent,125.83
05-02-2023,good quality,excellent,195.18
18-02-2023,"We had Narital Irish Cream Frappe and Madagascar Hot Chocolate It was amazing And the service was superb tooAaftab, Rushaan served us really well, took all our instructions and served us superb coffees ",excellent,271.87
25-02-2023,fresh food,excellent,125.83
25-02-2023,Sabina was really sweet and kind serving with a good smile makes the service much much better 🤌🏼 best coffee ever 🤌🏼It’s very. Clean and chick ,excellent,294.08
26-02-2023,good quality,excellent,195.18
27-02-2023,fresh food,excellent,125.83
02-03-2023,Sabina is a star. Genuinely seems happy working here. Shows in the service. Lovely concoctions as well. Do spend your lazy afternoons here. Indoor seating is less but the coffee makes up for it.,excellent,348.68
04-03-2023,fresh food,excellent,125.83
06-03-2023,I had a classic frappe ..it was excellent..absolutely love the vibe of this place..Staff is very polite..Sabina is super sweet and makes sure the coffee is as per my taste..I totally recommend this place..Best part is it’s open 24*7 :) ,excellent,349.99
06-03-2023,Had south Indian frappe and it was too delicious and refreshing. The vibe here is quite good and the staff is very warm and welcoming especially Sabina who is too positive. Would definitely visit this café again.,neutral,108.59
08-03-2023,fresh food,excellent,125.83
11-03-2023,Ettarra is small coffee shop in the lobby of a juhu hotel. They have an elaborate menu of South Indian coffee and espresso based drinks. They also do pour overs and drip coffee. I tried their filter coffee and it was great. Sabina took very good care of us and made the coffee to our liking. I would highly recommend.,excellent,225.35
